ID,Correct_Answer,Participant_Answer,Question_appearance,Answer_time
AD93,64,64,127.93827748298645,133.26302218437195
AD110,77,77,133.2832109928131,136.73501205444336
AD91,65,65,136.76606225967407,142.14954710006714
AD69,63,73,142.17156267166138,149.5495891571045
AD80,85,85,149.5774953365326,152.9473888874054
AD105,44,44,152.9787573814392,154.8355758190155
AD45,63,63,154.86343479156494,159.63892459869385
AD3,78,78,159.66571426391602,163.87557697296143
AD16,37,37,163.90117979049683,166.52605199813843
AD86,46,46,166.5527594089508,169.78869438171387
AD82,75,65,169.8165020942688,175.008305311203
AD117,76,76,175.035813331604,178.1356439590454
AD7,49,49,178.17058277130127,181.3660445213318
AD84,39,39,181.39337420463562,185.82112407684326
AD14,67,67,185.84488129615784,189.05032968521118
AD87,59,59,189.08062601089478,193.3840684890747
AD35,27,27,193.4118926525116,196.1032567024231
AD20,41,41,196.13406491279602,199.86687302589417
AD78,51,51,199.89852595329285,202.4255335330963
AD71,81,81,202.45456075668335,208.36693358421326
AD51,21,21,208.3910355567932,210.99409341812134
AD19,42,42,211.02060556411743,216.96588277816772
AD42,71,71,216.99550819396973,220.12287664413452
AD55,35,35,220.14675998687744,223.3043920993805
AD90,82,82,223.33145451545715,225.66001439094543
AD35,27,27,225.68250584602356,228.21071982383728
AD92,82,82,228.23383784294128,233.22932505607605
AD103,74,74,233.25327157974243,236.54263997077942
AD76,64,64,236.57210087776184,240.95964670181274
AD7,49,49,240.99004769325256,244.7030692100525
SU59,-12,-12,277.9419524669647,288.8968768119812
SU49,-34,-34,288.9221730232239,293.86719131469727
SU45,44,44,293.89379715919495,296.73111939430237
SU23,11,11,296.7620759010315,300.93407464027405
SU87,7,7,300.96403527259827,307.8132975101471
SU53,-18,-18,307.83850049972534,312.74310660362244
SU97,-6,-6,312.7734172344208,316.4287874698639
SU37,28,28,316.4589967727661,322.25568747520447
SU94,45,45,322.2774832248688,324.8236517906189
SU108,-2,-2,324.8450057506561,327.20990347862244
SU1,-3,-3,327.241774559021,330.93203687667847
SU13,1,1,330.9603226184845,332.8769235610962
SU47,2,2,332.8988552093506,334.9328680038452
SU23,11,11,334.96225690841675,343.47140645980835
SU14,48,48,343.49970412254333,345.961585521698
SU118,18,18,345.98834705352783,354.28892183303833
SU53,-18,-18,354.3204114437103,358.4075334072113
SU106,-4,-4,358.42711067199707,361.68673181533813
SU27,14,14,361.7115182876587,369.19519090652466
SU103,-13,13,369.227326631546,389.4578323364258
SU54,-11,-11,389.4861750602722,394.15662574768066
SU13,1,1,394.18817138671875,395.53899359703064
SU45,44,44,395.5722439289093,397.65264534950256
MU70,12,12,427.9905743598938,432.7698392868042
MU86,21,21,432.79176115989685,435.28460812568665
MU110,9,9,435.3102922439575,437.2086625099182
MU49,10,10,437.2405173778534,439.03768038749695
MU4,56,454,439.06199526786804,458.2897262573242
MU26,24,24,458.3209331035614,463.3345203399658
MU10,18,18,463.3562033176422,465.5905182361603
MU37,18,18,465.6195056438446,467.74056577682495
MU109,49,49,467.7705569267273,476.8945264816284
MU102,8,8,476.92458152770996,478.616414308548
MU83,70,70,478.6466543674469,480.5603084564209
MU79,28,28,480.5930998325348,484.0386929512024
MU98,8,8,484.0649621486664,485.62905764579773
MU28,25,25,485.6498453617096,487.6345102787018
MU78,90,90,487.662654876709,489.82178807258606
MU5,60,60,489.85034132003784,491.9334409236908
MU49,10,10,491.96482586860657,493.71519470214844
MU64,12,12,493.73679637908936,495.48445653915405
MU72,20,20,495.5159056186676,497.7723569869995
MU45,30,30,497.80031180381775,500.4866337776184
MU104,25,25,500.5180308818817,502.6410050392151
MU108,60,60,502.6693825721741,504.69768238067627
MU101,42,42,504.7245569229126,512.366384267807
MU26,24,24,512.3951106071472,515.3368179798126
MU54,8,8,515.3619105815887,517.2684791088104
MU32,42,42,517.2970311641693,519.8911185264587
MU117,90,90,519.9144570827484,521.6854591369629
MU20,54,54,521.7154822349548,524.216249704361
MU10,18,18,524.244980096817,526.5521221160889
MU9,24,24,526.5843036174774,528.7263567447662
MU77,42,42,528.750794172287,532.9913880825043
MU48,56,56,533.0205104351044,541.4105732440948
MU94,5,5,541.4413459300995,543.3503279685974
MU103,21,21,543.3741528987885,545.2402982711792
MU97,60,60,545.2712590694427,547.1215093135834
DI45,8,8,578.0368840694427,586.0861790180206
DI52,15,20,586.1224443912506,597.1326081752777
DI51,14,14,597.1603584289551,609.1077494621277
DI20,3,3,609.1379284858704,610.9627578258514
DI100,3,3,610.9878959655762,615.6434180736542
DI106,3,3,615.6735796928406,620.656571149826
DI50,7,7,620.6876764297485,632.7698757648468
DI86,12,20,632.7978372573853,640.2254264354706
DI66,6,6,640.2508103847504,642.64222407341
DI76,15,15,642.668571472168,653.8180904388428
DI54,5,5,653.8408918380737,657.7925319671631
DI64,8,8,657.8207330703735,662.416145324707
DI84,8,6,662.4445419311523,682.5364637374878
DI99,7,7,682.5648770332336,684.9141790866852
DI53,11,11,684.9365684986115,687.5940828323364
DI103,2,2,687.6214306354523,689.0444703102112
DI32,2,2,689.0717403888702,692.4077396392822
DI95,3,3,692.4356582164764,696.1931080818176
