ID,Participant_Answer,Global_time,Question_appearance,Answer_time
MR9,D,992.9746072292328,991.9560232162476,992.9746072292328
OR4,D,994.1680834293365,993.1455402374268,994.1680834293365
MR8,C,1028.737028837204,1027.7207856178284,1028.737028837204
OR6,B,1053.6991200447083,1052.681922197342,1053.6991200447083
MR3,B,1070.3554770946503,1069.3390491008759,1070.3554770946503
PR2,A,1078.8943555355072,1077.876003742218,1078.8943555355072
PR3,B,1092.0830297470093,1091.0661885738373,1092.0830297470093
MR2,C,1101.5871758460999,1100.5700888633728,1101.5871758460999
MR4,B,1112.8581941127777,1111.8423163890839,1112.8581941127777
OR3,A,1143.621238231659,1142.6042430400848,1143.621238231659
MR1,C,1155.1607789993286,1154.1442847251892,1155.1607789993286
MR7,B,1169.1170835494995,1168.0992712974548,1169.1170835494995
PR5,B,1198.4123148918152,1197.3956532478333,1198.4123148918152
MR5,C,1216.7040660381317,1215.6858632564545,1216.7040660381317
PR1,C,1228.6253538131714,1227.6080627441406,1228.6253538131714
MR6,A,1248.9524850845337,1247.9355640411377,1248.9524850845337
MR10,A,1261.5397536754608,1260.5227465629578,1261.5397536754608
OR2,D,1275.6086070537567,1274.580560684204,1275.6086070537567
OR1,D,1288.0686223506927,1287.052052974701,1288.0686223506927
PR4,D,1302.7537727355957,1301.7241458892822,1302.7537727355957
OR5,D,1315.795254945755,1314.7734849452972,1315.795254945755
